taxon,ED10_S_Wi2020,ED10_S_2020-02-10,ED10_S_2020-02-26,ED10_S_2020-03-09,ED10_S_2020-03-24,ED10_S_2020-04-20,ED10_S_2020-04-22,ED10_S_2020-05-11,ED10_S_2020-05-21,ED10_S_2020-06-03,ED10_S_2020-06-08,ED10_S_2020-06-19,ED10_S_2020-07-02,ED10_S_2020-07-21,ED10_S_2020-08-05,ED10_S_2020-08-20,ED10_S_2020-09-01,ED10_S_2020-09-16,ED10_S_2020-10-02,ED10_S_2020-10-16,ED10_S_2020-11-19,ED10_S_2020-11-25
Rhodocyclaceae,0.00382629977852274,0.00347330763085687,0.000778580388425105,0.0350002061260667,0.0259529870730982,0.00521260876703333,0.00254169976171565,0.011102694001231,0.0265029432916922,0.0158807720498412,0.0312848608046803,0.0217871850775194,0.0170419522100149,0.00419198008021496,0.00598948040497401,0.00184532542767686,0.00234493948722508,0.00038899406135733,0.143507154403401,0.0395697820381148,0.00148417088817202,0.00604166180690009
FTLpost3,0,0,0,4.1225213340479e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,0,0,0,0,0,4.10441635199475e-05,0,2.3673121537806e-05,0.000319633486934981,0.00010470838714181,0.00104117603311931,0.000257388565891473,0.000326335255085391,0.00126862555059137,9.12103614970661e-05,0,2.22269145708538e-05,2.5932937423822e-05,0.000658564329761121,5.7058085130663e-05,0,0
Bathyarchaeota,0.00114616637509803,0.000903059984022785,0.000346035728188935,0.000659603413447665,0.000429794690382517,8.20883270398949e-05,0,0.000189384972302448,0.000186452867378739,3.49027957139367e-05,4.95798111009197e-05,0.000121124031007752,0.000725189455745313,0.000220630530537629,0.00139855887628835,0.000378140456491159,0.00208932996966026,0.000466792873628796,0,0.000855871276959945,0.000748218381640438,0.000699806386899624
Arenicella,0,0,8.65089320472339e-05,0,0,4.10441635199475e-05,0,0,0,6.98055914278734e-05,7.43697166513796e-05,6.0562015503876e-05,0,0.000244269515952375,9.12103614970661e-05,6.05024730385855e-05,0.000266722974850246,0.000181530561966754,5.98694845237382e-05,0,0,0
Marinovum,0.000396418445522626,0.000451529992011392,0.000605562524330637,0.000783279053469102,0.000727344860647337,0.00127236906911837,0.00254169976171565,0.00151507977841958,0.00125189782382868,0.00226868172140588,0.00106596593866977,0.000575339147286822,0.000181297363936328,0.00151289506654374,0.000501656988233863,0.000605024730385855,0.00116691301496983,0.00181530561966754,5.98694845237382e-05,0.000798813191829282,0.000294381002612631,0.000349903193449812
AqS1,0.000112031299821612,0.000659928449862804,0.00121112504866127,0.000494702560085748,3.30611300294244e-05,0.00110819241503858,0,4.73462430756119e-05,0.000106544495644994,3.49027957139367e-05,2.47899055504599e-05,0,0,0.000133954250683561,1.52017269161777e-05,7.56280912982318e-05,0.000188928773852258,0.000414926998781152,0,2.85290425653315e-05,0.000257583377286052,6.99806386899624e-05
Microtrichaceae,0.00346435250217599,0.0110451182661248,0.0231411393226351,0.00622500721441233,0.00634773696564949,0.00911180430142834,0.0249404289118348,0.00575256853368685,0.00274352076285859,0.000383930752853304,9.91596222018394e-05,9.0843023255814e-05,0,0.000141833912488476,6.08069076647107e-05,0.00155793868074358,0.000255609517564819,0.000285262311662042,0,0.000656167979002625,0.00122658751088596,0.00377895448925797
Alteromonadaceae,0,0,8.65089320472339e-05,0,0,0.00246264981119685,0.000476568705321684,0.000307750579991478,7.99083717337453e-05,0.00073295870999267,0.000123949527752299,0.000121124031007752,0.000326335255085391,0.00319126303099071,0.00136815542245599,0.000529396639087623,0.00207821651237483,0.00573117917066466,5.98694845237382e-05,0,2.45317502177193e-05,0
Saccharospirillaceae,8.61779229397013e-06,0,0,0,0,0,0,0,2.66361239112484e-05,0,0,0,0,0,0,0,1.11134572854269e-05,0,0,0,7.35952506531578e-05,0
Clostridia vadinBB60 group,8.61779229397013e-06,0,0,4.1225213340479e-05,0,0,0,0.000142038729226836,0,0.000174513978569683,0.000173529338853219,0.000242248062015504,0.000616411037383516,0.000133954250683561,0.00019762244991031,0,4.44538291417077e-05,0,0,5.7058085130663e-05,2.45317502177193e-05,0
Caldora VP642b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11134572854269e-05,0,0,0,0,0
Draconibacterium,0.0012409620903317,0.000659928449862804,0.000389290194212552,0.00210248588036443,0.00228121797203028,0.00229847315711706,0.00222398729150119,0.0107475971781639,0.0258104040699997,0.0564029178737217,0.0423659485857359,0.0719173934108527,0.0911200551143986,0.0426920076590313,0.0424128180961357,0.00169406924508039,0.0135695313455063,0.010191644407562,0.00790277195713345,0.00322378180988246,0.00158229788904289,0.00125965149641932
Alphaproteobacteria,0.00985875438430183,0.00982946059532493,0.0141009559236991,0.00210248588036443,0.00221509571197144,0.00673124281727138,0.00476568705321684,0.00381137256758676,0.00442159656926724,0.000663153118564797,0.000173529338853219,0.00015140503875969,0.000580151564596251,0.000921920431175094,0.000562463895898574,0.00821321071498798,0.00184483390938087,0.00248956199268691,0.000478955876189906,0.00165468446878923,0.00807094582162964,0.0100772119713546
Lutimonas,0.000775601306457312,0.000729394602479942,0.000735325922401488,0.00181390938698108,0.000991833900882732,0.00192907568543753,0.00349483717235902,0.0051370673737039,0.00364914897584104,0.00471187742138145,0.00183445301073403,0.00181686046511628,0.00192175205772508,0.00307306810391698,0.00231066249125901,0.00137643126162782,0.00541225369800291,0.00178937268224372,0.000119738969047476,0.0030811365970558,0.00105486525936193,0.000466537591266416
[Desulfobacterium] catecholicum group,0.000430889614698507,6.94661526171373e-05,0,0.000700828626788144,0.000694283730617912,0.00016417665407979,0,0.00035509682306709,0.00138507844338492,0.00191965376426652,0.00109075584422023,0.00139292635658915,0.000398854200659922,0.00115831028532255,0.0014289623301207,7.56280912982318e-05,0.000600126693413054,0.00210056793132958,0.00844159731784709,0.00465023393814904,9.81270008708771e-05,6.99806386899624e-05
Chryseolinea,8.61779229397013e-05,0,0,0.000247351280042874,0.000165305650147122,4.10441635199475e-05,0,7.10193646134179e-05,0.000319633486934981,0.00010470838714181,0.000471008205458737,0.000529917635658915,0.000398854200659922,0.000323066134001529,0.000319236265239731,4.53768547789391e-05,0.00014447494471055,0,0.000419086391666168,0.000484993723610636,2.45317502177193e-05,2.33268795633208e-05
Oligoflexaceae,8.61779229397013e-06,0,0,0,0,0,0,2.3673121537806e-05,0,0,0,0,0,0.00140257980127493,0.000121613815329421,0.000105879327817525,0.000700147808981896,0.000544591685900262,0,0,0,0
Erysipelothrix,2.58533768819104e-05,3.47330763085687e-05,0,0.000494702560085748,0.000165305650147122,8.20883270398949e-05,0.000158856235107228,9.46924861512239e-05,0.00285006525850358,0.0017102369899829,0.00396638488807358,0.00116581879844961,0.000652670510170782,0.000110315265268815,6.08069076647107e-05,1.51256182596464e-05,0.000122248030139696,0,0.00131712865952224,0.000399406595914641,2.45317502177193e-05,0.000116634397816604
Chryseobacterium,0,0,0,0.000329801706723832,3.30611300294244e-05,0,0,4.73462430756119e-05,0.000213088991289987,6.98055914278734e-05,0.000247899055504599,4.5421511627907e-05,0,7.87966180491533e-06,0,0,2.22269145708538e-05,0,0.000119738969047476,0.000142645212826658,0,6.99806386899624e-05
Bermanella,0,0,0,0,0,8.20883270398949e-05,0,2.3673121537806e-05,7.99083717337453e-05,0.00010470838714181,0.000123949527752299,3.0281007751938e-05,0,0,0,1.51256182596464e-05,0.00193374156766428,0.000155597624542932,0,0,0,2.33268795633208e-05
Crocinitomicaceae,0.00111169520592215,0.00156298843388559,0.00242225009732255,0.00342169270725976,0.00776936555691474,0.00402232802495485,0.00413026211278793,0.00364566071682212,0.00354260448019604,0.00328086279711005,0.00153697414412851,0.00187742248062016,0.000979005765256173,0.00225358327620579,0.00123133988021039,0.000771406531241965,0.00265611629121703,0.00194497030678665,0,0.00171174255391989,0.000956738258491052,0.00240266859502204
Nannocystaceae,5.17067537638208e-05,6.94661526171373e-05,8.65089320472339e-05,4.1225213340479e-05,3.30611300294244e-05,0.000369397471679527,0.000158856235107228,0.000331423701529284,0,0.000383930752853304,0.000471008205458737,0.000105983527131783,0,0.00132378318322578,0.00112492779179715,1.51256182596464e-05,0.000333403718562808,0.00101138455952906,0,8.55871276959945e-05,6.13293755442982e-05,2.33268795633208e-05
Sphingopyxis,0.000215444807349253,0.000138932305234275,0.000173017864094468,0.000535927773426228,0.000760405990676761,0.00016417665407979,0.000317712470214456,0.000994271104587851,0.000612630849958714,0.000593347527136924,0.000619747638761496,0.000741884689922481,0.000362594727872657,0.000346705119416275,0.00019762244991031,0,0.000122248030139696,2.5932937423822e-05,0.00179608453571215,0.00111263266004793,1.22658751088596e-05,0.000116634397816604
Acetothermiia,0,0,4.32544660236169e-05,0,0,0,0,0,0,0,0,9.0843023255814e-05,0.000108778418361797,0.000244269515952375,0.000577665622814752,3.02512365192927e-05,0.000633467065269335,5.1865874847644e-05,0,2.85290425653315e-05,7.35952506531578e-05,0
Granulosicoccus,0.000146502468997492,0.000277864610468549,0.00160041524287383,0.000164900853361916,0.000165305650147122,0.00172385486783779,0.0011119936457506,0.000165711850764642,0.000292997363023733,3.49027957139367e-05,2.47899055504599e-05,3.0281007751938e-05,3.62594727872657e-05,3.93983090245767e-05,4.5605180748533e-05,0.000181507419115756,6.66807437125615e-05,0.000285262311662042,0,5.7058085130663e-05,8.58611257620175e-05,0.000163288156943246
PS1 clade,0,3.47330763085687e-05,0,0,0,4.10441635199475e-05,0,0,0,0,2.47899055504599e-05,0,0,1.57593236098307e-05,0,0,5.55672864271346e-05,0.000207463499390576,0,2.85290425653315e-05,0,0
SEEP-SRB1,0.0014994958591508,0.000659928449862804,0.000432544660236169,0.00115430597353341,0.000429794690382517,8.20883270398949e-05,0.000158856235107228,0.000213058093840254,0.000719175345603708,0.000279222365711494,9.91596222018394e-05,0.000726744186046512,0.000652670510170782,0.00122134757976188,0.00380043172904442,0.00108904451469454,0.00274502394950045,0.00101138455952906,0.000179608453571215,0.00111263266004793,0.00175402014056693,0.000373230073013133
Azovibrio,0.000137884676703522,0.000138932305234275,0,0.000989405120171497,0.00234734023208913,0.00119028074207848,0.000635424940428912,0.000639174281520761,0.000399541858668727,0.000244319569997557,2.47899055504599e-05,0.000136264534883721,0,7.87966180491533e-06,0,7.56280912982318e-05,0,0,0,8.55871276959945e-05,4.90635004354386e-05,0.000489864470829737
