taxon,EO10_S_2019-08-21,EO10_S_2019-09-13,EO10_S_2019-09-30,EO10_S_2019-10-11,EO10_S_2019-10-28,EO10_S_2019-11-11,EO10_S_2019-11-25,EO10_S_2019-12-13,EO10_S_2020-01-02,EO10_S_2020-01-16,EO10_S_2020-01-21,EO10_S_2020-02-10,EO10_S_2020-02-21,EO10_S_2020-03-06,EO10_S_2020-03-18,EO10_S_2020-03-20,EO10_S_2020-04-14,EO10_S_2020-04-28,EO10_S_2020-04-29,EO10_S_2020-05-12,EO10_S_2020-05-21,EO10_S_2020-05-28,EO10_S_2020-06-10,EO10_S_2020-06-23,EO10_S_2020-07-09,EO10_S_2020-07-21,EO10_S_2020-08-05,EO10_S_2020-08-19,EO10_S_2020-09-02,EO10_S_2020-09-17,EO10_S_2020-10-02
Simiduia,1.0352609892954e-05,1.79355039278754e-05,1.31707188578353e-05,0,6.95323255781613e-05,5.84966364434045e-05,0.000563140400516441,0.000402605091770278,4.94349584252e-05,0.000233832175307322,0.00013444474321054,0.000209521967572446,0,5.11604904585685e-05,5.46711983015481e-05,0.000619229280698844,0.000638830684315429,0.000108900432334716,0.00053864359748633,0.000265395716070816,5.48498211895829e-05,0.000198404262857305,0.00013186871151082,0.000212270959634554,0,3.46392323946101e-05,0,0,4.77326968973747e-05,0,0.000151733555875882
Rhodocyclaceae,0.00154253887405015,0.00266043308263484,0.00140926691778837,0.000880154907263678,0.00108470427901932,0.0369698742322316,0.0165783039859352,0.00703374777975133,0.00327259424774824,0.00324024585783004,0.0037308416240925,0.00322341488572994,0.00302758466023772,0.00616483910025751,0.00636008273574676,0.0142312157903467,0.00546839065774007,0.00638156533481438,0.00285644332000326,0.00312945781866838,0.00503521358520371,0.00323115513796182,0.0108791686996426,0.0047633603341994,0.00519700906825052,0.00464165714087776,0.00552020958083832,0.00231657877891913,0.0026491646778043,0.00156985871271586,0.00986268113193233
FTLpost3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,0,0,0,0,0,0.000116993272886809,0,0,0,0,0,0,0,2.55802452292843e-05,0,1.10576657267651e-05,0,0,0,0,0,0,1.3186871151082e-05,8.49083838538217e-06,1.76769015926888e-05,0,0,0,0,0,0
Bathyarchaeota,0.000486572664968839,0.000292946564155298,0.00150146194979322,0.000864152090767975,0.00337927102309864,0.000731207955542556,0.00108507540587314,0.000521018354055654,0.00060310649278744,0.000768305718866916,0.00117639150309223,0.000225639042001096,0.00235478806907378,0.000520131652995447,0.000902074771975544,0.000586056283518549,0.000332191955844023,0.000522722075206639,0.000375418264914715,0.000187988632216828,0.000427828605278747,0.000297606394285957,0.000184616196115148,0.000331142697029905,0.000353538031853777,6.92784647892203e-05,0.000187125748502994,0.000182887798335721,0.000238663484486874,0.000510204081632653,0.00106213489113117
Arenicella,0.000962792720044723,0.00137505530113711,0.000184390064009694,0.000240042247435549,6.95323255781613e-05,0.000526469727990641,2.74702634398264e-05,0.000331557134399053,0.00022740080875592,0.000133618385889898,0.000369723043828986,0.000596331753860039,0.00011213276519399,5.96872388683299e-05,9.11186638359135e-05,0.000132691988721181,8.94362958041601e-05,8.71203458677731e-05,0.000424385864686199,0.000132697858035408,0.000164549463568749,4.25151991837082e-05,0.000145055582661902,0.000288688505102994,0.000212122819112266,0.000311753091551491,0.000205838323353293,0.00185935928307983,0.000525059665871122,0.000313971742543171,0.000606934223503528
Marinovum,0.00105596620908131,0.000753291164970765,0.000171219345151858,0.000624109843332427,0.000681416790665981,0.000497221409768938,0.000192291844078785,0.000165778567199526,0.0001977398337008,0.000367450561197221,0.000773057273460608,0.000499629307288141,0,0.000204641961834274,0.000109342396603096,0.000232210980262067,0.000434404865334492,0.000283141124070263,0.00181180119154493,0.000420209883778793,0.000241339213234165,0.000311778127347193,0.000698904171007345,0.0010019189294751,0.00045959944140991,0.00112577505282483,0.00110404191616766,0.000701069893620264,0.00035799522673031,3.92464678178964e-05,0.000606934223503528
AqS1,0.000124231318715448,0.000675570647949972,0.00050048731659774,0.000432076045383988,0.000194690511618852,0.00064346300087745,0.00189544817734802,0.000852575488454707,0.000929377218393759,0.00133618385889898,0.000638612530250067,0.000967024465718983,0.000784929356357928,0.00127048551305445,0.00219595979844552,0.00127163155857798,0.000971022640159452,0.00202554804142572,0.000228515465600261,0.00185777001249571,0.00235854231115207,0.00221079035755283,0.00110769717669089,0.000339633535415287,0.000742429866892931,0.000484949253524542,0.000187125748502994,0.000457219495839303,0.0018854415274463,0.000470957613814757,0.001289735224945
Microtrichaceae,0.00328177733606642,0.00335991773582198,0.00133024260464136,0.00163228728256173,0.000458913348815865,0.00374378473237789,0.00159327527950993,0.00210775606867969,0.00221468613744896,0.00193746659540353,0.00339472976606615,0.00248202946201206,0.00280331912984974,0.00251539078087962,0.00300691590658515,0.00242162879416155,0.00245310982777125,0.00411643634225228,0.00639843303680731,0.00330638829604892,0.00153579499330832,0.00391139832490115,0.00328353091661941,0.00247932480853159,0.00152021353697124,0.00147216737677093,0.00116017964071856,0.00188984058280245,0.00300715990453461,0.00164835164835165,0.00311053789545558
Alteromonadaceae,0.000652214423256103,0.00185931390718975,0.000421463003450728,6.4011265982813e-05,0.000890013767400465,5.84966364434045e-05,4.12053951597396e-05,3.55239786856128e-05,4.94349584252e-05,0.000167022982362373,0.000100833557407905,0.000435161009573542,0.00011213276519399,0.000341069936390457,9.11186638359135e-05,0.00143749654447946,0.0156257985383554,0.00194931773879142,0.00235044478903126,0.00884652386902721,0.00140415542245332,0.00391139832490115,0.00145055582661902,0.000738702939528249,0.000583337752558732,0.00950846929232048,0.00093562874251497,0.00158502758557625,0.00324582338902148,0.00117739403453689,0.001289735224945
