taxon,EU08_S_2019-09-13,EU08_S_2019-09-30,EU08_S_2019-10-11,EU08_S_2019-10-17,EU08_S_2019-10-28,EU08_S_2019-11-12,EU08_S_2019-11-26,EU08_S_2019-12-13,EU08_S_2020-01-02,EU08_S_Wi2020,EU08_S_2020-01-27,EU08_S_2020-02-07,EU08_S_2020-02-21,EU08_S_2020-03-06,EU08_S_2020-03-18,EU08_S_2020-04-14,EU08_S_2020-04-28,EU08_S_2020-05-12,EU08_S_2020-05-21,EU08_S_2020-05-28,EU08_S_2020-06-10,EU08_S_2020-06-23,EU08_S_2020-07-09,EU08_S_2020-07-21,EU08_S_2020-08-05,EU08_S_2020-08-20,EU08_S_2020-09-02,EU08_S_2020-09-17,EU08_S_2020-10-02,EU08_S_2020-10-29,EU08_S_2020-11-19
Rhizobiaceae,0.000237692010577294,0.000481695568400771,0.00053131433884572,0.00241440364230035,0.00120100447647123,0.000840859545312987,0.000439431668375568,0.000385914134105162,0.00041044776119403,0.000608413489396222,0.000338425836395281,0.000293388968574782,0.000283432105127544,0.000428357249946455,0.000940291490362012,0.000263091670288943,0.000196405774329765,0.000203252032520325,0.000538024281269737,4.69571750563486e-05,0.00028243601059135,0.000146412884333821,0.000297663342759339,6.15271026887344e-05,0.000177047554973266,0.00056300712038417,0.000410382681850826,0.00199787460148778,0.000836267605633803,0.00143509458577952,0.0022255678470904
[Agitococcus] lubricus group,0.000148557506610809,0,0,0.000183954563222884,0.000109182225133748,0.000840859545312987,0.0018309652848982,0.000482392667631452,0.000447761194029851,0.000347664851083555,0.000290079288338813,0.000325987742860868,0.000128832775057975,0.00119940029985007,0.04286622970768,0.000451831346800577,0,0.000846883468834688,7.01770801656179e-05,0.000140871525169046,0.00028243601059135,4.88042947779405e-05,7.44158356898348e-05,0.000123054205377469,0,0,0,0.000850159404888417,0.00101232394366197,0.000130463144161774,0.0026837729920796
Hyphomonas,5.94230026443236e-05,0.000160565189466924,0.00013282858471143,0.00094276713651728,0.0010554281762929,0.000404858299595142,0.00036619305697964,6.43190223508603e-05,0.000186567164179104,5.79441418472592e-05,4.83465480564688e-05,6.51975485721737e-05,0,8.56714499892911e-05,0.000967947122431483,0.000245933517878795,0.000229140070051393,0.000101626016260163,0.000280708320662472,9.39143501126972e-05,7.06090026478376e-05,4.88042947779405e-05,0,0.000615271026887344,3.54095109946532e-05,0,0,0.000127523910733262,0.000352112676056338,0.000260926288323549,0.001800091641029
Mycobacterium,0.000356538015865942,0.000160565189466924,0.00039848575413429,0.000160960242820023,0.000473122975579576,0.00112114606041732,0.000219715834187784,0.000225116578228011,0.000223880597014925,0.000434581063854444,0.000886353381035261,0.000586777937149563,0.00020613244009276,0.000556864424930392,0.000691390801736774,0.000320285511656105,0.000818357393040689,0.000711382113821138,0.000304100680717678,0.000422614575507137,0.000353045013239188,0.000732064421669107,0.000520910849828844,0.000307635513443672,0.000389504620941185,0.00086106971352873,0.000341985568209022,0.000680127523910733,0.000528169014084507,0.000652315720808871,0.0011127839235452
Desulfopila,0.00157470957007458,0.00192678227360308,0.00249053596333931,0.0020924831566603,0.00272955562834371,0.00395515415758331,0.00219715834187784,0.00164013506994694,0.00194029850746269,0.00197010082280681,0.0040772255527622,0.00189072890859304,0.00226745684102036,0.00282715784964661,0.00210182803727979,0.0039635332067443,0.00549936168123343,0.00318428184281843,0.00577791293363587,0.00389744552967693,0.00402471315092674,0.00341630063445583,0.00346033635957732,0.0020611579400726,0.00308062745653483,0.00258320914058619,0.00174412639786601,0.00191285866099894,0.00162852112676056,0.00365296803652968,0.0034692675263468
Terasakiellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71938413671616e-06,0,0,0,0,3.53045013239188e-05,0,0,0,0,0,0,0,0,0,0
WN-HWB-116,0,0,0,0,0,0,0,9.64785335262904e-05,0.0016044776119403,0.000231776567389037,6.44620640752917e-05,0.000130395097144347,0,8.56714499892911e-05,5.53112641389419e-05,0.000211617213058498,0.000360077252937903,0,2.3392360055206e-05,4.69571750563486e-05,0,0,3.72079178449174e-05,0,0,0,0,0,0,4.34877147205914e-05,6.54578778555999e-05
T34,0.00300086163353834,0.000561978163134232,6.64142923557149e-05,0.000114971602014302,3.63940750445827e-05,0,0,0,0,0,0,0,0,0,0,5.71938413671616e-06,0,0,0,0,0,0,0,0.000123054205377469,0,0,3.41985568209022e-05,0,0,0,0
Arenimonas,0.000118846005288647,0,9.96214385335724e-05,0.000206948883625744,0.000109182225133748,0.000498287137963251,0.000805624725355207,0.000514552178806882,0.00082089552238806,0.000289720709236296,0.00093469992909173,0.000456382840005216,0.000309198660139139,0.00154208609980724,0.00871152410188335,0.0014527235707259,0.00212772922190579,0.00186314363143631,0.00559077405319423,0.00192524417731029,0.0011297440423654,0.000341630063445583,0.000558118767673761,0.000276871962099305,0.000177047554973266,0.000264944527239609,6.83971136418043e-05,0,0.0065580985915493,0.000130463144161774,0.000818223473194999
pItb-vmat-80,0.00742787533054045,0.00706486833654464,0.00644218635850435,0.00443790383775208,0.00666011573315864,0.00669573341638119,0.00395488501538011,0.00578871201157742,0.00888059701492537,0.00414300614207904,0.00507638754592922,0.00554179162863476,0.00775573305849008,0.00732490897408439,0.000802013330014657,0.00285397268422136,0.00186585485613277,0.00491192411924119,0.00184799644436127,0.0049305033809166,0.00406001765225066,0.00727183992191313,0.0074787914868284,0.00892142988986649,0.0104458057434227,0.0073190925649942,0.00848124209158374,0.00841657810839532,0.00325704225352113,0.0050880626223092,0.0023564836028016
